,yhat
2021-11-30 16:00:00,30747.83453864327
2021-11-30 17:00:00,31987.20954296222
2021-11-30 18:00:00,33002.34165515127
2021-11-30 19:00:00,33388.72044890946
2021-11-30 20:00:00,32922.4757924631
2021-11-30 21:00:00,31708.490351778186
2021-11-30 22:00:00,30115.478571853502
2021-11-30 23:00:00,28536.995267254737
2021-12-01 00:00:00,27175.622602366042
2021-12-01 01:00:00,26028.104241159483
2021-12-01 02:00:00,25061.490389122864
2021-12-01 03:00:00,24389.6783957956
2021-12-01 04:00:00,24260.316206906522
2021-12-01 05:00:00,24846.740406690256
2021-12-01 06:00:00,26034.000216339813
2021-12-01 07:00:00,27406.828985293592
2021-12-01 08:00:00,28472.226694815996
2021-12-01 09:00:00,28944.657726651698
2021-12-01 10:00:00,28875.72087736412
2021-12-01 11:00:00,28555.581056228195
2021-12-01 12:00:00,28304.23532314233
2021-12-01 13:00:00,28329.87385574187
2021-12-01 14:00:00,28722.60909031293
2021-12-01 15:00:00,29503.80188103389
2021-12-01 16:00:00,30619.22804430402
2021-12-01 17:00:00,31870.35599370776
2021-12-01 18:00:00,32893.72085627138
2021-12-01 19:00:00,33284.667124405896
2021-12-01 20:00:00,32819.26391598174
2021-12-01 21:00:00,31602.416460997985
2021-12-01 22:00:00,30002.94281543406
2021-12-01 23:00:00,28414.5789752193
2021-12-02 00:00:00,27040.16122873414
2021-12-02 01:00:00,25876.754603700334
2021-12-02 02:00:00,24891.791215599143
2021-12-02 03:00:00,24199.603290938157
2021-12-02 04:00:00,24048.318266253507
2021-12-02 05:00:00,24611.78782668918
2021-12-02 06:00:00,25775.60238333553
2021-12-02 07:00:00,27125.052664222338
2021-12-02 08:00:00,28167.70208311944
2021-12-02 09:00:00,28618.57428656485
2021-12-02 10:00:00,28529.81300701803
2021-12-02 11:00:00,28192.103808262316
2021-12-02 12:00:00,27925.93052425711
2021-12-02 13:00:00,27939.927120156404
2021-12-02 14:00:00,28324.59835369986
2021-12-02 15:00:00,29101.638206083633
2021-12-02 16:00:00,30217.089564290298
2021-12-02 17:00:00,31472.61596348197
2021-12-02 18:00:00,32504.87086942881
2021-12-02 19:00:00,32909.2366329433
2021-12-02 20:00:00,32461.737247683133
2021-12-02 21:00:00,31267.14857531608
2021-12-02 22:00:00,29694.07506563332
2021-12-02 23:00:00,28135.956155613705
2021-12-03 00:00:00,26795.25117870393
2021-12-03 01:00:00,25668.571615770965
2021-12-03 02:00:00,24722.82445389726
2021-12-03 03:00:00,24071.751368172118
2021-12-03 04:00:00,23962.831053668888
2021-12-03 05:00:00,24569.21648236951
2021-12-03 06:00:00,25775.75848180417
2021-12-03 07:00:00,27166.977194678504
2021-12-03 08:00:00,28249.64495735308
2021-12-03 09:00:00,28737.984861351462
2021-12-03 10:00:00,28683.341981689657
2021-12-03 11:00:00,28375.616709139613
2021-12-03 12:00:00,28134.532832602526
2021-12-03 13:00:00,28168.00094502203
